en	ml
it is an indoor scene	ഇത് ഒരു ഇൻഡോർ രംഗമാണ്
Computer screens turned on	കമ്പ്യൂട്ടർ സ്ക്രീനുകൾ ഓണാക്കി
man has short hair	മനുഷ്യന് ചെറിയ മുടിയുണ്ട്
photo album open on an adult's lap	ഫോട്ടോ ആൽബം മുതിർന്നവരുടെ മടിയിൽ തുറക്കുന്നു
there is a group of girls beside the black car	കറുത്ത കാറിനടുത്ത് ഒരു കൂട്ടം പെൺകുട്ടികളുണ്ട്
Child in a stroller	ഒരു ഉന്തുവണ്ടിയിലെ കുട്ടി
Tall metal lightpost	ഉയരമുള്ള മെറ്റൽ ലൈറ്റ്പോസ്റ്റ്
wall is painted white	മതിൽ വെളുത്ത ചായം പൂശി
there are several pictures on the wall	ചാരനിറത്തിലുള്ള റോഡിന്റെ വശങ്ങളിൽ പച്ച പുല്ലിന്റെ സ്ട്രിപ്പുകൾ
woman facing the ocean	സമുദ്രം അഭിമുഖീകരിക്കുന്ന സ്ത്രീ
this is an office layout	ഇതൊരു ഓഫീസ് രേഖാചിത്രം
four metallic chairs	നാല് ലോഹത്തിന്റെ കസേരകൾ
Clutter is on a table	കോലാഹലം ഒരു മേശപ്പുറത്താണ്
a white microwave oven	ഒരു വെളുത്ത മൈക്രോവേവ് ഓവൻ
White SUV driving through intersection	കവലയിലൂടെ വൈറ്റ് എസ്‌യുവി ഡ്രൈവിംഗ്
Person crossing street with umbrella	കുടയുമായി തെരുവ് മുറിച്ചുകടക്കുന്ന വ്യക്തി
man in gray pants leaning on building	ചാരനിറത്തിലുള്ള പാന്റിലുള്ള മനുഷ്യൻ കെട്ടിടത്തിൽ ചാരിയിരിക്കുന്നു
window on the building	ഒരു കെട്ടിടത്തിലെ വലിയ വിൻഡോ
A man standing in between cars	കാറുകൾക്കിടയിൽ നിൽക്കുന്ന ഒരാൾ
painting hanging on wall	ചിത്രരചന ചുമരിൽ തൂക്കിയിരിക്കുന്നു
leg of the chair	കസേരയുടെ കാൽ
window of a boat	ഒരു കെട്ടിടത്തിലെ വലിയ വിൻഡോ
the cabinet is wood	കാബിനറ്റ് മരം
a man reading a book	ഒരു കറുത്ത ട്രാഷ് ബാഗ്.
A person swimming in water	ഒരു വ്യക്തി വെള്ളത്തിൽ നീന്തുന്നു
lamp with glowing shade	തിളങ്ങുന്ന തണലുള്ള വിളക്ക്
fruit on the plate	ഫലം പാത്രത്തിൽ
A porcelain white plate	ഒരു പോർസലൈൻ വൈറ്റ് പ്ലേറ്റ്
black game controller	കറുത്ത ഗെയിം കൺട്രോളർ
A person putting something in the trunk of the car.	ഒരു വ്യക്തി കാറിന്റെ ട്രങ്കിൽ എന്തോ ഇടുന്നു.
Green car parked along a street	പച്ച കാർ തെരുവിലൂടെ പാർക്ക് ചെയ്തിരിക്കുന്നു
car on the street	തെരുവിൽ കാർ
construction worker wearing coveralls	നിർമ്മാണത്തൊഴിലാളികൾ കവറുകൾ ധരിക്കുന്നു
a black car with a yellow door	മഞ്ഞ വാതിലുള്ള ഒരു കറുത്ത കാർ
chair at the table	കസേര മേശപ്പുറത്ത്
a navel orange on a counter	ഒരു കൗണ്ടറിൽ ഒരു നാഭി ഓറഞ്ച്
Three windows of a building	ഒരു കെട്ടിടത്തിന്റെ മൂന്ന് ജാലകങ്ങൾ
window on a building	ഒരു കെട്ടിടത്തിലെ വലിയ വിൻഡോ
Brown table standing on top of a floor.	തറയുടെ മുകളിൽ നിൽക്കുന്ന ബ്രൗൺ നിറമുള്ള ടേബിൾ.
floor lamp is on	ഫ്ലോർ ലാമ്പ് ഓണാണ്
A yellow bus	ഒരു മഞ്ഞ ബസ്
branch of the tree	മരത്തിന്റെ ശാഖ
Cement bench outside the building	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
thick black pole with a white stripe	വെളുത്ത വരയുള്ള കട്ടിയുള്ള കറുത്ത ധ്രുവം
a wooden park bench	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
a cup	ഒരു പാനപാത്രം
man has brown hair	ദ്വീപ് ബീച്ച് രംഗം
grass in a field	വയലിൽ പുല്ല്
A large brown tree trunk	ഒരു വലിയ ബ്രൗൺ മരത്തിന്റെ തുമ്പിക്കൈ
silver car in front of a building	ഒരു കെട്ടിടത്തിന് മുന്നിൽ വെള്ളി കാർ
man sits at counter	മനുഷ്യൻ കൗണ്ടറിൽ ഇരിക്കുന്നു
woman standing at a book cart	ഒരു പുസ്തക വണ്ടിയിൽ നിൽക്കുന്ന സ്ത്രീ
two story blue bus	രണ്ട് നില നീല ബസ്
a gray laundry basket	ചാരനിറത്തിലുള്ള അലക്കു കൊട്ട
The yellow construction hats	മഞ്ഞ നിർമ്മാണ തൊപ്പികൾ
wooden floor in the room	മുറിയിലെ തടി തറ
