en	hi
a bunch of books on book stand##person,person,book,handbag,book,book	पुस्तक स्टैंड पर पुस्तकों का एक गुच्छा
gold religious cross on top of golden ball##clock,dog,person	स्वर्ण गेंद के शीर्ष पर स्वर्ण धार्मिक क्रॉस
Candle on glass candle stand##couch,cup,chair,wine glass,oven,bowl,potted plant,chair,vase,chair	कांच के मोमबत्ती स्टैंड पर मोमबत्ती
a blue wall beside tennis court##person,tennis racket	टेनिस कोर्ट के बगल में एक नीली दीवार
fine thin red hair##person,bench,vase,vase,frisbee	सूक्ष्म पतले लाल बाल
front springs of motocross motorcycle##person,motorcycle	मोटोक्रॉस मोटरसाइकिल के सामने स्प्रिंग्स
the tennis court is made up of sand and dirt##person,tennis racket,sports ball	य़ह टेनिस कोर्ट रेत और धूल से बना है
court attendant sitting in chair##person,person,chair,chair,chair,person,person,person,person,person	कुर्सी पर बैठे क़ोर्ट ऍटेंन्डेंट
a cross on the top of a spire##clock	एक शिखर के शीर्ष पर एक क्रॉस
the cross is black##person,bus,person,person,truck,car	क्रॉस काला है
press box on tennis court##person,person,person,person,person,person,person,person,person,backpack	टेनिस कोर्ट पर प्रेस बॉक्स
the characters are chinese##bus,car,person,traffic light,person,person,person,person,person,person	य़ह पात्र चीनी हैं
date and time of photo##sheep,sports ball	फोटो की तारीख और समय
Luggage sign in english and spanish##person,suitcase,suitcase,suitcase,suitcase,suitcase,suitcase,suitcase,suitcase,suitcase	सामान का चिह्न अंग्रेजी और स्पेनिश में
box springs on bottom of bed##bed	बिस्तर के तल पर बॉक्स स्प्रिंग्स
box springs with flower print##couch,bed,person,couch,book,handbag,chair,bed,bottle,chair	फूल के प्रिंट के साथ बॉक्स स्प्रिंग्स
fork under english muffin##bowl,carrot,spoon,carrot,carrot,dining table,cake,sandwich,carrot,carrot	अंग्रेजी मफिन के नीचे कांटा
there are two players in the court##person,person,tennis racket,tennis racket,tennis racket,tennis racket	क़ोर्ट में दो खिलाड़ी हैं
a man trying to cross##bus,bus,person,person,person,person,person,person,person,person	पार करने की कोशिश कर रहा एक आदमी
people on the second level##person,person,person,person,person,person,person,person,person,person	दूसरे स्तर पर लोग
Name and date stamp on picture##clock,refrigerator	तस्वीर पर नाम और तारीख की मोहर
A stand of trees.##frisbee,dog,dog	पेड़ों का एक झाड़।
umbrella to block sun##person,person,umbrella,person,chair,boat,dog,boat,person,kite	सूरज को अवरुद्ध करने के लिए छाता
the woman is waiting to cross the street##person,person,person,person,car,car,car,car,car,person	एक महिला सड़क पार करने के लिए इंतजार कर रही है
the lady appears to be going cross country skiing##person,person,person,backpack,backpack	महिला क्रॉस कंट्री स्कीइंग करती दिख रही है
White candle on a stand##clock,clock	एक स्टैंड पर सफेद मोमबत्ती
A grey rock wall forms a boundary of the enclosure##giraffe,zebra,zebra,person	एक ग्रे पत्थ क़ी दीवार बाड़े की एक सीमा बनाती हुई
a large block entrance##bicycle	एक बड़ा ब्लॉक प्रवेश द्वार
