en	hi
it is an indoor scene##keyboard,chair,tv,cup,bowl,potted plant,chair,cup,mouse,backpack	यह एक इनडोर दृश्य है
Computer screens turned on##chair,chair,laptop,tv,keyboard,tv,microwave,mouse,knife,keyboard	कंप्यूटर स्क्रीन चालू
man has short hair##tv,chair,mouse,keyboard,tv,person,bottle,cup,remote,tv	आदमी के छोटे बाल हैं
photo album open on an adult's lap##person,person,person,bed,book,laptop	एक वयस्क की गोद में फोटो एल्बम खुला
there is a group of girls beside the black car##person,car,person,person,car,person,person,traffic light,traffic light,car	काली कार के पास लड़कियों का एक समूह है
Child in a stroller##person,person,person,chair,chair,chair,car,chair,chair,car	एक घुमक्कड़ में बच्चा
Tall metal lightpost##person,person,person,person,car,person,car,car,bus,person	लंबा धातु प्रकाश पोस्ट
wall is painted white##chair,dining table,chair,chair,chair,chair,chair,chair,chair,chair	दीवार सफेद रंग की है
there are several pictures on the wall##vase,potted plant,bowl,potted plant,book,couch,dining table,bed,couch	दीवार पर कई चित्र हैं
woman facing the ocean##person,person,boat,boat,person,boat	सागर का सामना कर रही महिला
this is an office layout##chair,chair,keyboard,potted plant,dining table,book,book,book,book,dining table	यह एक कार्यालय लेआउट है
four metallic chairs##chair,chair,dining table,potted plant,chair,vase,chair,potted plant,potted plant,vase	चार धातु की कुर्सियाँ
Clutter is on a table##chair,chair,dining table,chair,chair,person,potted plant,dining table,potted plant,cup	क्लटर एक मेज पर है
a white microwave oven##microwave,microwave,bottle,cup,bowl,bottle	एक सफेद माइक्रोवेव ओवन
White SUV driving through intersection##person,traffic light,car,car,car,car,car,car,car,car	चौराहे के माध्यम से सफेद एसयूवी ड्राइविंग
Person crossing street with umbrella##car,car,person,car,car,traffic light,traffic light,person,car,bus	छतरी के साथ सड़क पार करते व्यक्ति
man in gray pants leaning on building##person,person,chair,chair,chair,person,chair,chair,chair,handbag	इमारत पर झुकाव में आदमी ग्रे पैंट में
window on the building##car,truck,potted plant,potted plant,potted plant,car,person,person,person,person	भवन पर खिड़की
A man standing in between cars##car,car,car,person,car,car,car,truck,truck,bus	कारों के बीच में खड़ा एक आदमी
painting hanging on wall##person,person,person,person,person,person,chair,person,person,chair	दीवार पर चित्रकला
leg of the chair##person,person,person,wine glass,bottle,cup,chair,wine glass,chair,person	कुर्सी का पैर
window of a boat##sink,dining table,oven,bottle,bowl,dining table,cup,sink,bed,cup	एक नाव की खिड़की
the cabinet is wood##microwave,sink,oven,vase,oven,spoon,vase,oven,spoon,knife	कैबिनेट लकड़ी है
a man reading a book##person,person,person,person,person,person,person,suitcase,person,bus	एक आदमी एक किताब पढ़ रहा है
A person swimming in water##person,person,person,person,person,person,person,person,person,boat	पानी में तैरता हुआ व्यक्ति
lamp with glowing shade##couch,chair,vase,book,book,book,couch,chair,book,book	चमकती छाया के साथ दीपक
fruit on the plate##cup,spoon,spoon,cup,fork,dining table,knife,cup,bottle,cup	प्लेट पर फल
A porcelain white plate##wine glass,wine glass,fork,cup,wine glass,spoon,fork,wine glass,fork,dining table	एक चीनी मिट्टी के बरतन सफ़ेद प्लेट
black game controller##tv,remote,laptop,frisbee,book	काला खेल नियंत्रक
A person putting something in the trunk of the car.##person,car,car,car,umbrella,car	कार की डिक्की में कुछ डालने वाला व्यक्ति।
Green car parked along a street##fire hydrant,car,car,fire hydrant	एक सड़क के साथ ग्रीन कार पार्क किया
car on the street##person,car,car,backpack,car,car,car,car,car,car	गली पर कार
construction worker wearing coveralls##person,person,person,truck,person,person,person,person,person	निर्माण कर्मचारी कवरलेस पहनते हैं
a black car with a yellow door##car,person,truck,car,person,car,person,person,person,traffic light	पीले दरवाजे के साथ एक काली कार
chair at the table##chair,chair,dining table,chair,chair,chair,chair,chair,chair,chair	मेज पर कुर्सी
a navel orange on a counter##bottle,orange,fork,dining table,bowl,cup,bowl,fork,knife,cup	एक काउंटर पर एक नारंगी संतरा
Three windows of a building##person,car,person,car,car,bicycle,person,person,person,car	एक इमारत की तीन खिड़कियां
window on a building##person,bicycle,bicycle,person,person,bicycle,bicycle,bicycle,bicycle,person	इमारत पर खिडकि
Brown table standing on top of a floor.##chair,potted plant,bowl,chair,chair,dining table,dining table,orange	भूरे रंग की मेज एक मंजिल के ऊपर खड़ी है।
floor lamp is on##couch,chair,suitcase,remote,remote,remote	फ्लोर लैंप चालू है
A yellow bus##person,person,person,person,person,bus,person,person,person,person	एक पीली बस
branch of the tree##potted plant,potted plant,potted plant,potted plant,potted plant	वृक्ष की शाखा
Cement bench outside the building##person,person,car	भवन के बाहर सीमेंट की बेंच
thick black pole with a white stripe##person,person,person,person,car,person,person,backpack,car,person	एक सफेद पट्टी के साथ मोटी काली पोल
a wooden park bench##bench,bench,bench,bench,bench,person,bench,person,car,person	लकड़ी पार्क बेंच
a cup##person,cup,bottle,bottle,dining table,vase,orange,potted plant,bottle,vase	एक कप
man has brown hair##person,chair,chair,cup,bottle,bottle,vase	आदमी के भूरे बाल हैं
grass in a field##person,person	एक खेत में घास
A large brown tree trunk##person,person,person,bicycle,car	एक बड़ा भूरा पेड़ का तना
silver car in front of a building##car,car,car,car	इमारत के सामने चांदी कार
man sits at counter##person,chair,chair,vase,chair,wine glass,bottle,bottle,bottle,bottle	आदमी काउंटर पर बैठता है
woman standing at a book cart##person,person,person,person,book,book,book,bottle,book,book	किताब की गाड़ी पर खड़ी महिला
two story blue bus##bus,bus,bus,bus,bus	दो कहानी नीली बस
a gray laundry basket##bottle	एक ग्रे कपड़े धोने की टोकरी
The yellow construction hats##chair,chair,chair,chair,dining table,dining table,dining table,chair,chair,dining table	पीले रंग की निर्माण टोपी
wooden floor in the room##bottle,refrigerator,bottle,vase,apple,vase,cup,donut,donut,donut	कमरे में लकड़ी का फर्श
A tall palm tree above the horizon##	क्षितिज के ऊपर एक लंबा ताड़ का पेड़
chair inside an auditorium##chair,chair,chair,chair,chair,chair,chair,chair,chair,chair	एक सभागार के अंदर कुर्सी
a tall leafy tree##person	एक लंबा पत्ते का पेड़
mirror is on far wall##refrigerator	दर्पण दूर की दीवार पर है
