en	bn
it is an indoor scene	এটি একটি অভ্যন্তরীণ দৃশ্য
Computer screens turned on	কম্পিউটারের পর্দা চালু আছে
man has short hair	মানুষের চুল ছোট
photo album open on an adult's lap	কোনও বয়স্কের কোলে ফটো অ্যালবাম খোলা
there is a group of girls beside the black car	কালো গাড়ির পাশে মেয়েদের একটি দল রয়েছে
Child in a stroller	একটি স্ট্রলর মধ্যে শিশু
Tall metal lightpost	লম্বা ধাতব লাইটপোস্ট
wall is painted white	দেয়াল সাদা আঁকা হয়
there are several pictures on the wall	দেয়ালে বেশ কয়েকটি ছবি রয়েছে
woman facing the ocean	মহিলা সমুদ্রের মুখোমুখি
this is an office layout	এটি একটি অফিস বিন্যাস
four metallic chairs	চারটি ধাতব চেয়ার
Clutter is on a table	নড়বড়ে একটি টেবিলে আছে
a white microwave oven	একটি সাদা মাইক্রোওয়েভ ওভেন
White SUV driving through intersection	চৌরাস্তা দিয়ে হোয়াইট এসইউভি ড্রাইভিং
Person crossing street with umbrella	ছাতা দিয়ে রাস্তা পার হওয়া ব্যক্তি
man in gray pants leaning on building	ধূসর প্যান্টের লোকটি বিল্ডিংয়ের দিকে ঝুঁকছে
window on the building	বিল্ডিং উইন্ডো
A man standing in between cars	গাড়ির মধ্যে দাঁড়িয়ে একজন লোক
painting hanging on wall	দেয়ালে ঝুলন্ত পেইন্টিং
leg of the chair	চেয়ারের পা
window of a boat	একটি নৌকা জানালা
the cabinet is wood	মন্ত্রিসভা কাঠ হয়
a man reading a book	একজন মানুষ একটি বই পড়ছেন
A person swimming in water	একজন ব্যক্তি পানিতে সাঁতার কাটছেন
lamp with glowing shade	জ্বলন্ত ছায়া দিয়ে প্রদীপ
fruit on the plate	প্লেটে ফল
A porcelain white plate	একটি চীনামাটির বাসন সাদা প্লেট
black game controller	কালো খেলা নিয়ামক
A person putting something in the trunk of the car.	একজন ব্যক্তি গাড়ির ট্রাঙ্কে কিছু রাখছেন।
Green car parked along a street	রাস্তায় পার্ক করা সবুজ গাড়ি
car on the street	রাস্তায় গাড়ি
construction worker wearing coveralls	পরিশ্রমী পরা নির্মাণ শ্রমিক
a black car with a yellow door	হলুদ দরজা সহ একটি কালো গাড়ি
chair at the table	টেবিলে চেয়ার
a navel orange on a counter	একটি কাউন্টারে একটি নাভি কমলা
Three windows of a building	একটি ভবনের তিনটি জানালা
window on a building	একটি বিল্ডিং উইন্ডো
Brown table standing on top of a floor.	মেঝেতে দাঁড়িয়ে ব্রাউন টেবিল।
floor lamp is on	ফ্লোর ল্যাম্প চালু আছে
A yellow bus	একটি হলুদ বাস
branch of the tree	গাছের ডাল
Cement bench outside the building	ভবনের বাইরে সিমেন্ট বেঞ্চ
thick black pole with a white stripe	একটি সাদা ফিতে সঙ্গে ঘন কালো পোল
a wooden park bench	একটি কাঠের পার্ক বেঞ্চ
a cup	এক কাপ
man has brown hair	মানুষের চুল বাদামী
grass in a field	একটি মাঠে ঘাস
A large brown tree trunk	একটি বিশাল বাদামি গাছের কাণ্ড
silver car in front of a building	একটি ভবনের সামনে সিলভার গাড়ি
man sits at counter	মানুষ কাউন্টারে বসে
woman standing at a book cart	মহিলা একটি বইয়ের গাড়ী দাঁড়িয়ে
two story blue bus	দোতলা নীল বাস
a gray laundry basket	একটি ধূসর লন্ড্রি ঝুড়ি
The yellow construction hats	হলুদ নির্মাণ টুপি
wooden floor in the room	ঘরে কাঠের মেঝে
A tall palm tree above the horizon	দিগন্তের ওপরে একটি লম্বা তাল গাছ
chair inside an auditorium	একটি মিলনায়কের ভিতরে চেয়ার
a tall leafy tree	একটি লম্বা পাতলা গাছ
mirror is on far wall	আয়না তো দূরের দেয়ালে on
the sidewalk	ফুটপাথ
The driver's side door is open	চালকের পাশের দরজা খোলা আছে
A plate full of food	খাবারে পূর্ণ একটি প্লেট
the building is white	ভবনটি সাদা is
small picture on wall	দেয়ালে ছোট ছবি
intersection of wooden logs	কাঠের লগের ছেদ
light attached to building	আলো বিল্ডিংয়ের সাথে সংযুক্ত
Do Not Enter sign	সাইন লিখুন না
colorful pillow of blues and reds on a white striped couch	সাদা স্ট্রাইপযুক্ত পালঙ্কে ব্লুজ এবং লাল রঙের বালিশ
dent is in the vehicle	দাঁত গাড়িতে আছে
the roof is grey	ছাদ ধূসর
brown frame on mirror	আয়নাতে বাদামী ফ্রেম
white flowers beneath tree	গাছের নীচে সাদা ফুল
white ambulance on the street	রাস্তায় সাদা অ্যাম্বুলেন্স
green trees in distance	দূরত্বে সবুজ গাছ
The sign is blue	সাইনটি নীল
Man sitting off to side of road	মানুষ রাস্তার পাশে বসে
a man crossing the street	রাস্তা পার হয়ে একজন
sign on the wall	দেয়ালে সাইন
window in a brick house	একটি ইট বাড়িতে উইন্ডো
The computer screen is blue	কম্পিউটারের স্ক্রিনটি নীল
bike route sign	বাইক রুট সাইন
Grey Beard Hair on a man	একটি পুরুষের উপর ধূসর দাড়ি চুল
the rear view of a car	একটি গাড়ির পিছনের দৃশ্য
Burger with cheese sauce	পনির সস দিয়ে বার্গার
side of thee silver SUV	তোমার পাশে সিলভার এসইউভি
Woman walking across street	মহিলা রাস্তায় হাঁটছেন
woman wearing pink jacket	মহিলা গোলাপী জ্যাকেট পরা
red car parked by street light	স্ট্রিট লাইট পার্কযুক্ত লাল গাড়ি
the traffic lights are yellow	ট্র্যাফিক লাইট হলুদ হয়
White painted line on pavement	ফুটপাতে সাদা আঁকা লাইন
The black tipped pen on the desk	ডেস্কে কালো টিপড পেন
Man in white shirt walking down the sidewalk	সাদা শার্টের লোক ফুটপাতে হাঁটছে
large light fixture in ceiling	সিলিং বড় হালকা স্থিতিশীল
white monitor on desk	ডেস্কে সাদা মনিটর
black computer monitor on desk	ডেস্কে কালো কম্পিউটার মনিটর
handle on the mug	মগ উপর হ্যান্ডেল
a man sitting in front of a computer monitor	একজন কম্পিউটার মনিটরের সামনে বসে আছেন
Turned on black monitor	কালো মনিটর চালু
Man wearing brown sunglasses.	ব্রাউন সানগ্লাস পরা মানুষ।
brick on the building	বিল্ডিং এ ইট
silver metal table on ground	মাটিতে রৌপ্য ধাতব টেবিল
A grey trash bin.	একটি ধূসর ট্র্যাশ বিন।
boy holding ball	ছেলে বল ধরে
projection screen is white	প্রোজেকশন পর্দা সাদা
yellow traffic signal attached to a gray pole	ধূসর পোলের সাথে সংযুক্ত হলুদ ট্র্যাফিক সংকেত
red truck behind silver car	সিলভার গাড়ির পিছনে লাল ট্রাক
two mopeds are parked	দুটি মোপেড পার্ক করা আছে
A blue car on the street.	রাস্তায় একটি নীল গাড়ি।
black car with yellow doors	হলুদ দরজা দিয়ে কালো গাড়ি
a car with four doors	চারটি দরজা সহ একটি গাড়ি
bike parked on the sidewalk	বাইকটি ফুটপাতে দাঁড়িয়ে আছে
Red motorcycle on sidewalk	ফুটপাতে লাল মোটরসাইকেল
man wearing blue shirt	নীল শার্ট পরা মানুষ
Group of scooters parked next to each other	একে অপরের পাশে পার্ক করা স্কুটারের দল
yellow VW leaving parking lot	হলুদ ভিডাব্লু পার্কিং ছেড়ে
bag of oranges	কমলা ব্যাগ
there is a band on stage	মঞ্চে একটি ব্যান্ড আছে
window on white house	সাদা বাড়িতে উইন্ডো
these are tall buildings	এগুলি লম্বা বিল্ডিং
small car beside curb	কার্বের পাশে ছোট গাড়ি
this is a person	এটি একজন ব্যক্তি
bull on the sand	বালির উপর ষাঁড়
the building with a yellow roof	হলুদ ছাদ সহ বিল্ডিং
the cup is upside down	কাপটি উল্টো দিকে
Light in the ceiling.	সিলিংয়ে আলো
Black truck is parked	কালো ট্রাক দাঁড়িয়ে আছে
the man in the light blue coat	হালকা নীল রঙের কাপড়ের লোকটি
Bike leaning against black gate	সাইকেল কালো গেটের বিরুদ্ধে ঝুঁকছে
white curtain on window	উইন্ডোতে সাদা পর্দা
the alarm clock is off	অ্যালার্ম ঘড়ি বন্ধ আছে
A medium sized picture on the wall.	দেয়ালে একটি মাঝারি আকারের ছবি।
A bottle of water on the table.	টেবিলে এক বোতল জল।
Wired telephone connected to the wall	তারের সাথে সংযুক্ত তারযুক্ত টেলিফোন
Chair next to wood desk.	কাঠের ডেস্কের পাশে চেয়ার।
Lamppost next to television	টেলিভিশনের পাশে ল্যাম্পপোস্ট
Black backpack beside a bed	বিছানার পাশে কালো ব্যাকপ্যাক
A silver faucet in a bathroom	একটি বাথরুমে একটি সিলভার কল
small plant on porch	বারান্দায় ছোট গাছ
cedar shingles on the house	ঘরে দেবদারু দুলছে
a white and tan hotel room	একটি সাদা এবং ট্যান হোটেল রুম
Five knobs on a stove	একটি চুলার উপর পাঁচটি knobs
the sink is stainless steel	ডুব স্টেইনলেস স্টিল হয়
a wooden floor	একটি কাঠের মেঝে
the window is shut	উইন্ডো বন্ধ আছে
black car tire with silver rim	সিলভার রিম দিয়ে কালো গাড়ির টায়ার
a four legged steel chair	একটি চার পায়ের স্টিল চেয়ার
Red desk lamp sitting on desk	ডেস্কে বসে লাল ডেস্কের বাতি
the wooden night stand	কাঠের নাইট স্ট্যান্ড
tall grassy plants	লম্বা ঘাস গাছপালা
part of a house plant	একটি বাড়ির গাছপালা অংশ
red and green plaid sofa	লাল এবং সবুজ প্লেড সোফা
Large kitchen area	বড় রান্নাঘর অঞ্চল
boat on the water	জলের উপর নৌকা
vehicles parked on the side of the road	রাস্তার পাশে গাড়ি পার্কিং
A woman standing on the sidewalk.	ফুটপাতে দাঁড়িয়ে এক মহিলা।
man standing on the phone	মানুষ ফোনে দাঁড়িয়ে
a woman wearing a rain jacket	একটি মহিলা একটি বৃষ্টির জ্যাকেট পরা
taxi cab driving on street	ট্যাক্সি ক্যাব রাস্তায় ড্রাইভিং
yellow taxi driving on a street	রাস্তায় হলুদ ট্যাক্সি চালনা
person walking down the sidewalk in a busy city	ব্যস্ত শহরে ফুটপাতে হাঁটা ব্যক্তি
person walks on sidewalk	ব্যক্তি ফুটপাথে হাঁটা
Group of people is standing	দলে দলে লোক দাঁড়িয়ে আছে
black car on the street	রাস্তায় কালো গাড়ি
window of a car	একটি গাড়ির জানালা
flowers next to water	জলের পাশে ফুল
A food stand on a sidewalk	ফুটপাতে একটা খাবার স্ট্যান্ড
person crossing on crosswalk	ক্রসওয়াক উপর ক্রসিং ব্যক্তি
van driving under light	আলোর নিচে ভ্যান ড্রাইভিং
Yellow taxi on the road	রাস্তায় হলুদ ট্যাক্সি
window on the building	বিল্ডিং উইন্ডো
women is wearing a pink shirt	মহিলারা একটি গোলাপী শার্ট পরা হয়
Tan hat hanging on a post	একটি পোস্টে টান টুপি ঝুলছে
A white plane on a tarmac	একটি টারম্যাকের একটি সাদা বিমান
planes parked on the tarmac	বিমানগুলি টারম্যাকে পার্ক করল
small window on airplane	বিমানের উপর ছোট উইন্ডো
car on the road	রাস্তায় গাড়ি
small rocks	ছোট পাথর
tree trunk is broken	গাছের কাণ্ডটি ভেঙে গেছে
person in red shorts	লাল শর্টস মধ্যে ব্যক্তি
the shrub is very short	গুল্ম খুব সংক্ষিপ্ত
clouds in the sky	আকাশে মেঘ
A buffalo near a road	একটি রাস্তার কাছে একটি মহিষ
cloud in the sky	আকাশে মেঘ
White moving through the water	জলের মধ্য দিয়ে সাদা চলাচল করছে
parrot is on top of cage	তোতা খাঁচার উপরে রয়েছে
A bird standing in water	জলে দাঁড়িয়ে একটি পাখি
right eye	সঠিক চোখ
light on the pole	মেরুতে আলো
highway in a quiet area	একটি শান্ত এলাকায় হাইওয়ে
white cloud in sky	আকাশে সাদা মেঘ
White boat next to the dock.	ডকের পাশে সাদা নৌকা।
boat in the water	জলে নৌকা
boat is orange	নৌকা কমলা হয়
bikes in line by sidewalk	বাইরের রাস্তায় বাইক
small green minivan	ছোট সবুজ মিনিভান
american flag hanging on side of building	আমেরিকান পতাকা বিল্ডিংয়ের পাশে ঝুলন্ত
tree behind building	বিল্ডিং পিছনে গাছ
window on the building	বিল্ডিং উইন্ডো
orange beak on white duck	সাদা হাঁসের উপর কমলা চাঁচি
grey and white sky	ধূসর এবং সাদা আকাশ
man holding long yellow skis	লম্বা হলুদ রঙের স্কিস ধরে থাকা লোক
the red flag in the snow	তুষার মধ্যে লাল পতাকা
