en	bn
a bunch of books on book stand	বইয়ের স্ট্যান্ডে একগুচ্ছ বই
gold religious cross on top of golden ball	সোনার বলের উপরে সোনার ধর্মীয় ক্রস
Candle on glass candle stand	গ্লাস মোমবাতি স্ট্যান্ডে মোমবাতি
a blue wall beside tennis court	টেনিস কোর্টের পাশে একটি নীল প্রাচীর
fine thin red hair	সূক্ষ্ম পাতলা লাল চুল
front springs of motocross motorcycle	মোটরক্রস মোটরসাইকেলের সামনের স্প্রিংস
the tennis court is made up of sand and dirt	টেনিস কোর্ট বালু এবং ময়লা দিয়ে গঠিত
court attendant sitting in chair	চেয়ারে বসে কোর্ট অ্যাটেন্ডেন্ট
a cross on the top of a spire	একটি বীর্যের শীর্ষে একটি ক্রস
the cross is black	ক্রস কালো হয়
press box on tennis court	টেনিস কোর্টে প্রেস বক্স
the characters are chinese	চরিত্রগুলি চীনা
date and time of photo	তারিখ এবং ছবির সময়
Luggage sign in english and spanish	লাগেজ সাইন ইন ইংলিশ এবং স্প্যানিশ
box springs on bottom of bed	বিছানার নীচে বক্স স্প্রিংস
box springs with flower print	ফুলের মুদ্রণ সহ বক্স স্প্রিংস
fork under english muffin	ইংরেজি মাফিনের নীচে কাঁটাচামচ
there are two players in the court	কোর্টে দুজন খেলোয়াড় আছেন
a man trying to cross	একজন লোক ক্রস করার চেষ্টা করছে
people on the second level	দ্বিতীয় স্তরের লোকেরা
Name and date stamp on picture	ছবিতে নাম এবং তারিখের স্ট্যাম্প
A stand of trees.	গাছের একটি স্ট্যান্ড।
umbrella to block sun	ছাতা রোদে ব্লক করতে
the woman is waiting to cross the street	মহিলা রাস্তায় পারাপারের জন্য অপেক্ষা করছেন
the lady appears to be going cross country skiing	ভদ্রমহিলা মনে হয় ক্রস কান্ট্রি স্কিইং যাচ্ছেন
White candle on a stand	একটি স্ট্যান্ডে সাদা মোমবাতি
A grey rock wall forms a boundary of the enclosure	একটি ধূসর শিলা প্রাচীর ঘেরের সীমানা গঠন করে
a large block entrance	একটি বড় ব্লক প্রবেশদ্বার
date when taken in yellow	তারিখ যখন হলুদ নেওয়া হয়
tail of cat forms a C	বিড়ালের লেজ একটি সি গঠন করে
Wooden railing on second level	দ্বিতীয় স্তরে কাঠের রেলিং
white springs boxes and gears below train engine	ট্রেন ইঞ্জিনের নীচে সাদা স্প্রিংস বক্স এবং গিয়ার
time and date stamp on the photograph	ছবিতে সময় এবং তারিখের স্ট্যাম্প
yellow fair pole on fence	বেড়া উপর হলুদ ফর্সা খুঁটি
baseball players dressed in gray and orange	বেসবল প্লেয়াররা ধূসর এবং কমলা রঙের পোশাক পরা
teal sign with white asian characters	সাদা এশিয়ান অক্ষরগুলির সাথে টিল সাইন
Chain-link enclosure for tennis court	টেনিস কোর্টের জন্য চেইন-লিংক ঘের
stand in the room	রুমে দাঁড়ানো
The window on the right on the second floor.	দ্বিতীয় তলায় ডানদিকে উইন্ডো।
Date stamp of photograph	ফটোগ্রাফের তারিখ স্ট্যাম্প
large silver juice press	বড় রূপোর জুস প্রেস
the players in the dugout	খেলোয়াড়দের ডাগআউট
A white pot on the stand	স্ট্যান্ডে একটি সাদা পাত্র
Photo's date stamp.	ছবির তারিখ স্ট্যাম্প।
hind leg forms one quadrant	পেছনের লেগ এক চতুর্ভুজ গঠন
Light green tennis court	হালকা সবুজ টেনিস কোর্ট
soccer players red shirt	ফুটবল খেলোয়াড়রা লাল শার্ট
Gray television on stand	স্ট্যান্ড ধূসর টেলিভিশন
a second meal plate.	দ্বিতীয় খাবারের প্লেট
dark wooden wash stand	গাঢ় কাঠের ওয়াশ স্ট্যান্ড
Cube-like cement block out-building with large square door	বড় স্কোয়ারের দরজা সহ কিউব-জাতীয় সিমেন্ট ব্লক আউট বিল্ডিং
chinese characters on a red vehicle	একটি লাল গাড়িতে চীনা অক্ষর
blue tennis court area	নীল টেনিস কোর্ট অঞ্চল
Cement block outdoor flooring.	সিমেন্ট ব্লক আউটডোর মেঝে
the sign has asian characters	সাইন এশিয়ান অক্ষর আছে
a cross sign on top of the tower	টাওয়ারের উপরে একটি ক্রস চিহ্ন
man is waiting to cross	মানুষ ক্রস করার জন্য অপেক্ষা করছে
spikes on a players shoe	একটি প্লেয়ার জুতো উপর কাঁটা
a museum containing models of airplanes	বিমানগুলির মডেল সমন্বিত একটি যাদুঘর
date and time stamp on a picture	একটি ছবিতে তারিখ এবং সময় স্ট্যাম্প
Chinese characters on sign	সাইন ইন চীনা অক্ষর
an orange sign with written characters	লিখিত অক্ষরের সাথে একটি কমলা চিহ্ন
Baseball players are in the background	বেসবল প্লেয়াররা পটভূমিতে রয়েছে
Newspaper stand on the grass	খবরের কাগজ ঘাসে দাঁড়িয়ে আছে
young female date wearing a purple rhinestone sleeveless gown	বেগুনি কাঁচের কাঁচের স্লিভলেস গাউন পরা তরুণ মহিলা তারিখ 
two people waiting to cross	দুই জন ক্রস করার জন্য অপেক্ষা করছে
the side of the second train	দ্বিতীয় ট্রেনের পাশ
the bird is stand on a tree branch	পাখি গাছের ডালে দাঁড়িয়ে আছে
a black cross on a vertical stabilizer	একটি উল্লম্ব স্ট্যাবিলাইজারের উপর একটি কালো ক্রস
a green tennis court	একটি সবুজ টেনিস কোর্ট
neutral makeup on both rain models	উভয় বৃষ্টি মডেল নিরপেক্ষ মেকআপ
the second bus has a blue sign	দ্বিতীয় বাসটিতে একটি নীল চিহ্ন রয়েছে
This is some type of a fair.	এটি মেলার এক প্রকার।
A display of different phone models	বিভিন্ন ফোনের মডেলগুলির প্রদর্শন
microphone on the court	কোর্টে মাইক্রোফোন
person doing a hand stand	ব্যক্তি একটি হাত স্ট্যান্ড করছেন
springs of the seat	আসন স্প্রিংস
A large pipe extending from the wall of the court.	কোর্টের দেয়াল থেকে প্রসারিত একটি বৃহত পাইপ।
rapid in fast water	দ্রুত জলে দ্রুত
a stone block train platform	একটি পাথর ব্লক ট্রেন প্ল্যাটফর্ম
