en	bn
it is an indoor scene##keyboard,chair,tv,cup,bowl,potted plant,chair,cup,mouse,backpack	এটি একটি অভ্যন্তরীণ দৃশ্য
Computer screens turned on##chair,chair,laptop,tv,keyboard,tv,microwave,mouse,knife,keyboard	কম্পিউটারের পর্দা চালু আছে
man has short hair##tv,chair,mouse,keyboard,tv,person,bottle,cup,remote,tv	মানুষের চুল ছোট
photo album open on an adult's lap##person,person,person,bed,book,laptop	কোনও বয়স্কের কোলে ফটো অ্যালবাম খোলা
there is a group of girls beside the black car##person,car,person,person,car,person,person,traffic light,traffic light,car	কালো গাড়ির পাশে মেয়েদের একটি দল রয়েছে
Child in a stroller##person,person,person,chair,chair,chair,car,chair,chair,car	একটি স্ট্রলর মধ্যে শিশু
Tall metal lightpost##person,person,person,person,car,person,car,car,bus,person	লম্বা ধাতব লাইটপোস্ট
wall is painted white##chair,dining table,chair,chair,chair,chair,chair,chair,chair,chair	দেয়াল সাদা আঁকা হয়
there are several pictures on the wall##vase,potted plant,bowl,potted plant,book,couch,dining table,bed,couch	দেয়ালে বেশ কয়েকটি ছবি রয়েছে
woman facing the ocean##person,person,boat,boat,person,boat	মহিলা সমুদ্রের মুখোমুখি
this is an office layout##chair,chair,keyboard,potted plant,dining table,book,book,book,book,dining table	এটি একটি অফিস বিন্যাস
four metallic chairs##chair,chair,dining table,potted plant,chair,vase,chair,potted plant,potted plant,vase	চারটি ধাতব চেয়ার
Clutter is on a table##chair,chair,dining table,chair,chair,person,potted plant,dining table,potted plant,cup	নড়বড়ে একটি টেবিলে আছে
a white microwave oven##microwave,microwave,bottle,cup,bowl,bottle	একটি সাদা মাইক্রোওয়েভ ওভেন
White SUV driving through intersection##person,traffic light,car,car,car,car,car,car,car,car	চৌরাস্তা দিয়ে হোয়াইট এসইউভি ড্রাইভিং
Person crossing street with umbrella##car,car,person,car,car,traffic light,traffic light,person,car,bus	ছাতা দিয়ে রাস্তা পার হওয়া ব্যক্তি
man in gray pants leaning on building##person,person,chair,chair,chair,person,chair,chair,chair,handbag	ধূসর প্যান্টের লোকটি বিল্ডিংয়ের দিকে ঝুঁকছে
window on the building##car,truck,potted plant,potted plant,potted plant,car,person,person,person,person	বিল্ডিং উইন্ডো
A man standing in between cars##car,car,car,person,car,car,car,truck,truck,bus	গাড়ির মধ্যে দাঁড়িয়ে একজন লোক
painting hanging on wall##person,person,person,person,person,person,chair,person,person,chair	দেয়ালে ঝুলন্ত পেইন্টিং
leg of the chair##person,person,person,wine glass,bottle,cup,chair,wine glass,chair,person	চেয়ারের পা
window of a boat##sink,dining table,oven,bottle,bowl,dining table,cup,sink,bed,cup	একটি নৌকা জানালা
the cabinet is wood##microwave,sink,oven,vase,oven,spoon,vase,oven,spoon,knife	মন্ত্রিসভা কাঠ হয়
a man reading a book##person,person,person,person,person,person,person,suitcase,person,bus	একজন মানুষ একটি বই পড়ছেন
A person swimming in water##person,person,person,person,person,person,person,person,person,boat	একজন ব্যক্তি পানিতে সাঁতার কাটছেন
lamp with glowing shade##couch,chair,vase,book,book,book,couch,chair,book,book	জ্বলন্ত ছায়া দিয়ে প্রদীপ
fruit on the plate##cup,spoon,spoon,cup,fork,dining table,knife,cup,bottle,cup	প্লেটে ফল
