en	hi
a bunch of books on book stand	पुस्तक स्टैंड पर पुस्तकों का एक गुच्छा
gold religious cross on top of golden ball	स्वर्ण गेंद के शीर्ष पर स्वर्ण धार्मिक क्रॉस
Candle on glass candle stand	कांच के मोमबत्ती स्टैंड पर मोमबत्ती
a blue wall beside tennis court	टेनिस कोर्ट के बगल में एक नीली दीवार
fine thin red hair	सूक्ष्म पतले लाल बाल
front springs of motocross motorcycle	मोटोक्रॉस मोटरसाइकिल के सामने स्प्रिंग्स
the tennis court is made up of sand and dirt	य़ह टेनिस कोर्ट रेत और धूल से बना है
court attendant sitting in chair	कुर्सी पर बैठे क़ोर्ट ऍटेंन्डेंट
a cross on the top of a spire	एक शिखर के शीर्ष पर एक क्रॉस
the cross is black	क्रॉस काला है
press box on tennis court	टेनिस कोर्ट पर प्रेस बॉक्स
the characters are chinese	य़ह पात्र चीनी हैं
date and time of photo	फोटो की तारीख और समय
Luggage sign in english and spanish	सामान का चिह्न अंग्रेजी और स्पेनिश में
box springs on bottom of bed	बिस्तर के तल पर बॉक्स स्प्रिंग्स
box springs with flower print	फूल के प्रिंट के साथ बॉक्स स्प्रिंग्स
fork under english muffin	अंग्रेजी मफिन के नीचे कांटा
there are two players in the court	क़ोर्ट में दो खिलाड़ी हैं
a man trying to cross	पार करने की कोशिश कर रहा एक आदमी
people on the second level	दूसरे स्तर पर लोग
Name and date stamp on picture	तस्वीर पर नाम और तारीख की मोहर
A stand of trees.	पेड़ों का एक झाड़।
umbrella to block sun	सूरज को अवरुद्ध करने के लिए छाता
the woman is waiting to cross the street	एक महिला सड़क पार करने के लिए इंतजार कर रही है
the lady appears to be going cross country skiing	महिला क्रॉस कंट्री स्कीइंग करती दिख रही है
White candle on a stand	एक स्टैंड पर सफेद मोमबत्ती
A grey rock wall forms a boundary of the enclosure	एक ग्रे पत्थ क़ी दीवार बाड़े की एक सीमा बनाती हुई
a large block entrance	एक बड़ा ब्लॉक प्रवेश द्वार
date when taken in yellow	पीले रंग में लिया गया
tail of cat forms a C	बिल्ली की पूंछ एक सी बनाती हुई
Wooden railing on second level	दूसरे स्तर पर लकड़ी की रेलिंग
white springs boxes and gears below train engine	सफेद स्प्रिंग्स बक्से और ट्रेन इंजन के नीचे गियर
time and date stamp on the photograph	तस्वीर पर समय और तारीख की मुहर
yellow fair pole on fence	बाड़ पर पीला निष्पक्ष पोल
baseball players dressed in gray and orange	ग्रे और नारंगी रंग के कपड़े पहने हुए बेसबॉल खिलाड़ी
teal sign with white asian characters	सफेद एशियाई पात्रों के साथ चैती साइन
Chain-link enclosure for tennis court	टेनिस कोर्ट के लिए चेन-लिंक संलग्नक
stand in the room	कमरे में खड़े हो जाओ
The window on the right on the second floor.	दूसरी मंजिल पर दाईं ओर की खिड़की।
Date stamp of photograph	फोटोग्राफ की तारीख का मोहर
large silver juice press	बड़े चांदी का रस प्रेस
the players in the dugout	डगआउट में खिलाड़ी
A white pot on the stand	स्टैंड पर एक सफेद मटका
Photo's date stamp.	फोटो की तारीख मोहर
hind leg forms one quadrant	पिछ्ला पैर एक चतुर्थांश बनाता है
Light green tennis court	हल्का हरा टेनिस कोर्ट
soccer players red shirt	फुटबॉल खिलाड़ी की लाल शर्ट
Gray television on stand	स्टैंड पर ग्रे टेलीविजन
a second meal plate.	भोजन की एक दूसरी थाली।
dark wooden wash stand	ग़ाढे रंग की लकड़ी का वाश स्टैंड
Cube-like cement block out-building with large square door	बड़े वर्ग द्वार के साथ घन-जैसा सीमेंट ब्लॉक ईमारत के बाहर
chinese characters on a red vehicle	एक लाल वाहन पर चीनी पात्र
blue tennis court area	नीला टेनिस कोर्ट क्षेत्र
Cement block outdoor flooring.	आउटडोर सीमेंट ब्लॉक फर्श।
the sign has asian characters	साइन में एशियाई वर्ण हैं
a cross sign on top of the tower	टॉवर के शीर्ष पर एक क्रॉस साइन
man is waiting to cross	आदमी पार होने की प्रतीक्षा कर रहा है
spikes on a players shoe	एक खिलाड़ी के जूते पर क़ीलें
a museum containing models of airplanes	एक संग्रहालय जिसमें हवाई जहाज़ों के मॉडलें हैं
date and time stamp on a picture	एक तस्वीर पर तारीख और समय की मुहर
Chinese characters on sign	चिन्ह पर चीनी अक्षर
an orange sign with written characters	लिखित अक्षरों के साथ एक नारंगी चिन्ह
Baseball players are in the background	बेसबॉल खिलाड़ी पृष्ठभूमि में हैं
Newspaper stand on the grass	अखबार स्टैंड घास पर हैं
young female date wearing a purple rhinestone sleeveless gown	एक बैंगनी स्फटिक स्लीवलेस गाउन पहनी हुई युवती
two people waiting to cross	पार करने हेतु इंतजार कर रहे दो लोग
the side of the second train	दूसरी ट्रेन का किनारा
the bird is stand on a tree branch	पक्षी एक पेड़ की शाखा पर खड़ा है
a black cross on a vertical stabilizer	एक ऊर्ध्वाधर स्टेबलाइजर पर एक काला क्रॉस
a green tennis court	एक हरी टेनिस कोर्ट
neutral makeup on both rain models	दोनों वर्षा मॉडलों पर तटस्थ मेकअप
the second bus has a blue sign	दूसरी बस में एक नीला चिन्ह है
