en	ml
glass block privacy wall##person,person,book,handbag,book,book	ഗ്ലാസ് ബ്ലോക്ക് സ്വകാര്യ മതിൽ
knife block sitting on counter with knives in it##clock,dog,person	കത്തികൊണ്ട് കൗണ്ടറിൽ ഇരിക്കുന്ന കത്തി ബ്ലോക്ക്
a second pizza in a pan##couch,cup,chair,wine glass,oven,bowl,potted plant,chair,vase,chair	ചട്ടിയിൽ രണ്ടാമത്തെ പിസ്സ
beige stair way going to second level##person,tennis racket	ബീജ് സ്റ്റെയർ വേ രണ്ടാം ലെവലിലേക്ക് പോകുന്നു
tan house with lighter colored second floor##person,bench,vase,vase,frisbee	ടാൻ ഹൗസിലെ ഇളം നിറമുള്ള രണ്ടാം നില
Balconies on the second story of the buildings##person,motorcycle	കെട്ടിടങ്ങളുടെ രണ്ടാമത്തെ നിലയിലെ ബാൽക്കണി
Lamp on the night stand to the left of the bed##person,tennis racket,sports ball	രാത്രി സ്റ്റാന്റിലെ വിളക്ക് കട്ടിലിന്റെ ഇടതുവശത്ത് നിൽക്കുന്നു
a white alarm clock is on top of the night stand##person,person,chair,chair,chair,person,person,person,person,person	നൈറ്റ് സ്റ്റാൻഡിന് മുകളിൽ ഒരു വെളുത്ത അലാറം ക്ലോക്ക് ഉണ്ട്
a black music stand##clock	ഒരു കറുത്ത സംഗീത സ്റ്റാൻഡ്
the woman is waiting to cross the street##person,bus,person,person,truck,car	തെരുവ് മുറിച്ചുകടക്കാൻ കാത്തിരിക്കുന്ന സ്ത്രീ
these are baseball players##person,person,person,person,person,person,person,person,person,backpack	ഇവർ ബേസ്ബോൾ കളിക്കാരാണ്
Shadow on the court##bus,car,person,traffic light,person,person,person,person,person,person	കോർട്ടിലെ നിഴൽ
an alarm clock on the night stand##sheep,sports ball	രാത്രി സ്റ്റാൻഡിൽ ഒരു അലാറം ക്ലോക്ക്
The date 01/03/2008 in yellow.##person,suitcase,suitcase,suitcase,suitcase,suitcase,suitcase,suitcase,suitcase,suitcase	തീയതി 01/03/2008 മഞ്ഞയിൽ.
A brown stand next to a wall.##bed	ഒരു മതിലിനടുത്ത് ഒരു ബ്രൗണ് സ്റ്റാന്റ്
Man seated at food court table##couch,bed,person,couch,book,handbag,chair,bed,bottle,chair	ഒരാൾ ഭക്ഷണശാല മേശയുടെ സമീപം ഇരിക്കുന്നു
date stamp of scene##bowl,carrot,spoon,carrot,carrot,dining table,cake,sandwich,carrot,carrot	സീനിന്റെ തീയതി സ്റ്റാമ്പ്
Staircase leading to the second floor##person,person,tennis racket,tennis racket,tennis racket,tennis racket	രണ്ടാം നിലയിലേക്ക് നയിക്കുന്ന ഗോവണി
a camera on a stand##bus,bus,person,person,person,person,person,person,person,person	സ്റ്റാൻഡിലിരിക്കുന്ന ക്യാമറ
clear plastic French press##person,person,person,person,person,person,person,person,person,person	വ്യക്തമായ പ്ലാസ്റ്റിക് ഫ്രഞ്ച് പ്രസ്സ്
people on the second level##clock,refrigerator	രണ്ടാമത്തെ ലെവലിലെ ആളുകൾ
the court is made of sand##frisbee,dog,dog	കളിസ്ഥലം മണലിൽ നിർമ്മിച്ചതാണ്
an english saddle above a saddle pad##person,person,umbrella,person,chair,boat,dog,boat,person,kite	ഒരു സാഡിൽ പാഡിന് മുകളിലുള്ള ഒരു ഇംഗ്ലീഷ് സാഡിൽ
many utility cables cross over the street##person,person,person,person,car,car,car,car,car,person	നിരവധി ഉപയോഗപ്രദമായ കേബിളുകൾ തെരുവിലൂടെ കടന്നുപോകുന്നു
Newspaper stand on the grass##person,person,person,backpack,backpack	ന്യൂസ്‌പേപ്പർ സ്റ്റാന്റ് പുല്ലിൽ
stand in the room##clock,clock	മുറിയിലെ സ്റ്റാന്റ്
a motorcycle is parked in front of the road block##giraffe,zebra,zebra,person	റോഡ് ബ്ലോക്കിന് മുന്നിൽ ഒരു മോട്ടോർ സൈക്കിൾ പാർക്ക് ചെയ്തിരിക്കുന്നു
cross on top of church##bicycle	പള്ളിയുടെ മുകളിലെ ക്രോസ്സ്
second car parked on the street##cow,umbrella,umbrella,person,umbrella,person,person,umbrella,bench,umbrella	രണ്ടാമത്തെ കാർ തെരുവിൽ പാർക്ക് ചെയ്തു
sing is written in chinese and latin characters##cat,toilet,bottle,toilet,bottle,bottle	ചൈനീസ്, ലാറ്റിൻ അക്ഷരങ്ങളിൽ സിംഗ് എഴുതിയിട്ടുണ്ട്
A red date stamp##clock,couch,person,person,chair,dining table,person,chair,oven,couch	ഒരു ചുവന്ന തീയതി സ്റ്റാമ്പ്
Railing on second floor of building##train,person,person	കെട്ടിടത്തിന്റെ രണ്ടാം നിലയിലെ റെയിലിംഗ്
black electric clock on night stand##carrot,carrot,carrot,carrot,carrot,carrot,carrot,carrot,carrot,carrot	രാത്രി സ്റ്റാൻഡിലെ കറുത്ത ഇലക്ട്രിക് ക്ലോക്ക്
a second daybed in room##person,person,baseball glove,tennis racket,car,bench	മുറിയിലെ രണ്ടാമത്തെ ബഡ്
Paper on night stand##person,person,person,baseball glove,person,person,person,person,person,baseball glove	രാത്രി സ്റ്റാൻഡിലെ പേപ്പർ
stack of books on bed stand##tv,person,person,person,traffic light,person,person,person,person,person	ബെഡ് സ്റ്റാൻഡിൽ പുസ്തകങ്ങളുടെ ശേഖരം
