en	ml
glass block privacy wall	ഗ്ലാസ് ബ്ലോക്ക് സ്വകാര്യ മതിൽ
knife block sitting on counter with knives in it	കത്തികൊണ്ട് കൗണ്ടറിൽ ഇരിക്കുന്ന കത്തി ബ്ലോക്ക്
a second pizza in a pan	ചട്ടിയിൽ രണ്ടാമത്തെ പിസ്സ
beige stair way going to second level	ബീജ് സ്റ്റെയർ വേ രണ്ടാം ലെവലിലേക്ക് പോകുന്നു
tan house with lighter colored second floor	ടാൻ ഹൗസിലെ ഇളം നിറമുള്ള രണ്ടാം നില
Balconies on the second story of the buildings	കെട്ടിടങ്ങളുടെ രണ്ടാമത്തെ നിലയിലെ ബാൽക്കണി
Lamp on the night stand to the left of the bed	രാത്രി സ്റ്റാന്റിലെ വിളക്ക് കട്ടിലിന്റെ ഇടതുവശത്ത് നിൽക്കുന്നു
a white alarm clock is on top of the night stand	നൈറ്റ് സ്റ്റാൻഡിന് മുകളിൽ ഒരു വെളുത്ത അലാറം ക്ലോക്ക് ഉണ്ട്
a black music stand	ഒരു കറുത്ത സംഗീത സ്റ്റാൻഡ്
the woman is waiting to cross the street	തെരുവ് മുറിച്ചുകടക്കാൻ കാത്തിരിക്കുന്ന സ്ത്രീ
these are baseball players	ഇവർ ബേസ്ബോൾ കളിക്കാരാണ്
Shadow on the court	കോർട്ടിലെ നിഴൽ
an alarm clock on the night stand	രാത്രി സ്റ്റാൻഡിൽ ഒരു അലാറം ക്ലോക്ക്
The date 01/03/2008 in yellow.	തീയതി 01/03/2008 മഞ്ഞയിൽ.
A brown stand next to a wall.	ഒരു മതിലിനടുത്ത് ഒരു ബ്രൗണ് സ്റ്റാന്റ്
Man seated at food court table	ഒരാൾ ഭക്ഷണശാല മേശയുടെ സമീപം ഇരിക്കുന്നു
date stamp of scene	സീനിന്റെ തീയതി സ്റ്റാമ്പ്
Staircase leading to the second floor	രണ്ടാം നിലയിലേക്ക് നയിക്കുന്ന ഗോവണി
a camera on a stand	സ്റ്റാൻഡിലിരിക്കുന്ന ക്യാമറ
clear plastic French press	വ്യക്തമായ പ്ലാസ്റ്റിക് ഫ്രഞ്ച് പ്രസ്സ്
people on the second level	രണ്ടാമത്തെ ലെവലിലെ ആളുകൾ
the court is made of sand	കളിസ്ഥലം മണലിൽ നിർമ്മിച്ചതാണ്
an english saddle above a saddle pad	ഒരു സാഡിൽ പാഡിന് മുകളിലുള്ള ഒരു ഇംഗ്ലീഷ് സാഡിൽ
many utility cables cross over the street	നിരവധി ഉപയോഗപ്രദമായ കേബിളുകൾ തെരുവിലൂടെ കടന്നുപോകുന്നു
Newspaper stand on the grass	ന്യൂസ്‌പേപ്പർ സ്റ്റാന്റ് പുല്ലിൽ
stand in the room	മുറിയിലെ സ്റ്റാന്റ്
a motorcycle is parked in front of the road block	റോഡ് ബ്ലോക്കിന് മുന്നിൽ ഒരു മോട്ടോർ സൈക്കിൾ പാർക്ക് ചെയ്തിരിക്കുന്നു
cross on top of church	പള്ളിയുടെ മുകളിലെ ക്രോസ്സ്
second car parked on the street	രണ്ടാമത്തെ കാർ തെരുവിൽ പാർക്ക് ചെയ്തു
sing is written in chinese and latin characters	ചൈനീസ്, ലാറ്റിൻ അക്ഷരങ്ങളിൽ സിംഗ് എഴുതിയിട്ടുണ്ട്
A red date stamp	ഒരു ചുവന്ന തീയതി സ്റ്റാമ്പ്
Railing on second floor of building	കെട്ടിടത്തിന്റെ രണ്ടാം നിലയിലെ റെയിലിംഗ്
black electric clock on night stand	രാത്രി സ്റ്റാൻഡിലെ കറുത്ത ഇലക്ട്രിക് ക്ലോക്ക്
a second daybed in room	മുറിയിലെ രണ്ടാമത്തെ ബഡ്
Paper on night stand	രാത്രി സ്റ്റാൻഡിലെ പേപ്പർ
stack of books on bed stand	ബെഡ് സ്റ്റാൻഡിൽ പുസ്തകങ്ങളുടെ ശേഖരം
the knife block is filled	കത്തി ബ്ലോക്ക് നിറഞ്ഞു
plant is on a metal stand	പ്ലാന്റ് ഒരു മെറ്റൽ സ്റ്റാൻഡിലാണ്
black metal plant stand	ബ്ലാക്ക് മെറ്റൽ പ്ലാന്റ് സ്റ്റാൻഡ്
Landline phone on the night stand	നൈറ്റ് സ്റ്റാൻഡിലെ ലാൻഡ്‌ലൈൻ ഫോൺ
wide brown night stand	വിശാലമായ തവിട്ട് നിറത്തിലെ ചെറിയ മേശ
