image_idx	en	hi	obj_tags
2853	a bunch of books on book stand	पुस्तक स्टैंड पर पुस्तकों का एक गुच्छा	person,person,book,handbag,book,book
2399123	gold religious cross on top of golden ball	स्वर्ण गेंद के शीर्ष पर स्वर्ण धार्मिक क्रॉस	clock,dog,person
2358957	Candle on glass candle stand	कांच के मोमबत्ती स्टैंड पर मोमबत्ती	couch,cup,chair,wine glass,oven,bowl,potted plant,chair,vase,chair,knife,chair,dining table,couch,chair,sink,wine glass,chair
2373836	a blue wall beside tennis court	टेनिस कोर्ट के बगल में एक नीली दीवार	person,tennis racket
2378828	fine thin red hair	सूक्ष्म पतले लाल बाल	person,bench,vase,vase,frisbee
2381574	front springs of motocross motorcycle	मोटोक्रॉस मोटरसाइकिल के सामने स्प्रिंग्स	person,motorcycle
2372733	the tennis court is made up of sand and dirt	य़ह टेनिस कोर्ट रेत और धूल से बना है	person,tennis racket,sports ball
2359939	court attendant sitting in chair	कुर्सी पर बैठे क़ोर्ट ऍटेंन्डेंट	person,person,chair,chair,chair,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,chair,person,person,person,person
2407154	a cross on the top of a spire	एक शिखर के शीर्ष पर एक क्रॉस	clock
3510	the cross is black	क्रॉस काला है	person,bus,person,person,truck,car
713885	press box on tennis court	टेनिस कोर्ट पर प्रेस बॉक्स	person,person,person,person,person,person,person,person,person,backpack,person,chair,person,person,traffic light,person,person,bench,person,person,person,chair,person,person,person,sports ball,person,person,person,tennis racket,person,person,person,person,person,person,chair
2407185	the characters are chinese	य़ह पात्र चीनी हैं	bus,car,person,traffic light,person,person,person,person,person,person,car,truck,car,truck,car,person,car,car,backpack,bicycle,person,person,person,person,person,person,person,backpack,car
2358988	date and time of photo	फोटो की तारीख और समय	sheep,sports ball
2411002	Luggage sign in english and spanish	सामान का चिह्न अंग्रेजी और स्पेनिश में	person,suitcase,suitcase,suitcase,suitcase,suitcase,suitcase,suitcase,suitcase,suitcase,suitcase,suitcase,suitcase,suitcase,suitcase
2379342	box springs on bottom of bed	बिस्तर के तल पर बॉक्स स्प्रिंग्स	bed
2335357	box springs with flower print	फूल के प्रिंट के साथ बॉक्स स्प्रिंग्स	couch,bed,person,couch,book,handbag,chair,bed,bottle,chair,handbag,person
2372500	fork under english muffin	अंग्रेजी मफिन के नीचे कांटा	bowl,carrot,spoon,carrot,carrot,dining table,cake,sandwich,carrot,carrot,fork,carrot,bowl,carrot
2407547	there are two players in the court	क़ोर्ट में दो खिलाड़ी हैं	person,person,tennis racket,tennis racket,tennis racket,tennis racket
2353864	a man trying to cross	पार करने की कोशिश कर रहा एक आदमी	bus,bus,person,person,person,person,person,person,person,person
1239	people on the second level	दूसरे स्तर पर लोग	person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,handbag,person,handbag,person,person,person,person,person,person,person,handbag,person,person,car,person
2406955	Name and date stamp on picture	तस्वीर पर नाम और तारीख की मोहर	clock,refrigerator
2368444	A stand of trees.	पेड़ों का एक झाड़।	frisbee,dog,dog
2402845	umbrella to block sun	सूरज को अवरुद्ध करने के लिए छाता	person,person,umbrella,person,chair,boat,dog,boat,person,kite,person,person,person,person,person,chair,person,boat,chair,person,person,person
772	the woman is waiting to cross the street	एक महिला सड़क पार करने के लिए इंतजार कर रही है	person,person,person,person,car,car,car,car,car,person,car,car,person,person,handbag,car,traffic light,handbag,handbag,handbag,handbag,car
2388688	the lady appears to be going cross country skiing	महिला क्रॉस कंट्री स्कीइंग करती दिख रही है	person,person,person,backpack,backpack
2364500	White candle on a stand	एक स्टैंड पर सफेद मोमबत्ती	clock,clock
2335579	A grey rock wall forms a boundary of the enclosure	एक ग्रे पत्थ क़ी दीवार बाड़े की एक सीमा बनाती हुई	giraffe,zebra,zebra,person
3789	a large block entrance	एक बड़ा ब्लॉक प्रवेश द्वार	bicycle
2329619	date when taken in yellow	पीले रंग में लिया गया	cow,umbrella,umbrella,person,umbrella,person,person,umbrella,bench,umbrella,umbrella,chair,umbrella,chair,chair,bench,chair
2387786	tail of cat forms a C	बिल्ली की पूंछ एक सी बनाती हुई	cat,toilet,bottle,toilet,bottle,bottle
107903	Wooden railing on second level	दूसरे स्तर पर लकड़ी की रेलिंग	clock,couch,person,person,chair,dining table,person,chair,oven,couch,refrigerator,cup,bird,sink,dining table,chair,bottle,chair,dining table
2415354	white springs boxes and gears below train engine	सफेद स्प्रिंग्स बक्से और ट्रेन इंजन के नीचे गियर	train,person,person
2341425	time and date stamp on the photograph	तस्वीर पर समय और तारीख की मुहर	carrot,carrot,carrot,carrot,carrot,carrot,carrot,carrot,carrot,carrot,carrot,carrot,carrot,knife,carrot,carrot,carrot,carrot,carrot,bowl,carrot,donut
2318632	yellow fair pole on fence	बाड़ पर पीला निष्पक्ष पोल	person,person,baseball glove,tennis racket,car,bench
2345681	baseball players dressed in gray and orange	ग्रे और नारंगी रंग के कपड़े पहने हुए बेसबॉल खिलाड़ी	person,person,person,baseball glove,person,person,person,person,person,baseball glove,person,baseball glove,person,person,person
2402914	teal sign with white asian characters	सफेद एशियाई पात्रों के साथ चैती साइन	tv,person,person,person,traffic light,person,person,person,person,person,person,person,car,book,person
2388360	Chain-link enclosure for tennis court	टेनिस कोर्ट के लिए चेन-लिंक संलग्नक	person,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball,tennis racket
1700	stand in the room	कमरे में खड़े हो जाओ	book,clock,book,book,book,book,book,book,book,book,book,book,book,chair,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book
4726	The window on the right on the second floor.	दूसरी मंजिल पर दाईं ओर की खिड़की।	person,person,person,car,bench,bench,bench,handbag,handbag,bench,bench
2359703	Date stamp of photograph	फोटोग्राफ की तारीख का मोहर	person,person
1591886	large silver juice press	बड़े चांदी का रस प्रेस	person,person,cup,apple,apple,apple,apple,bottle,cup,cup,orange,apple,orange,apple,bottle,apple,apple,cup
2348154	the players in the dugout	डगआउट में खिलाड़ी	person,person,person,person,baseball glove,person,person,person,car,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person
2350200	A white pot on the stand	स्टैंड पर एक सफेद मटका	person,person,chair,person,potted plant,person,person,person,person,chair,person,person,umbrella,person,person,person,truck,person,person,umbrella,umbrella,car,person,person,potted plant
2348688	Photo's date stamp.	फोटो की तारीख मोहर	person,snowboard,person
2396024	hind leg forms one quadrant	पिछ्ला पैर एक चतुर्थांश बनाता है	cat
2397888	Light green tennis court	हल्का हरा टेनिस कोर्ट	person,sports ball,tennis racket
2353367	soccer players red shirt	फुटबॉल खिलाड़ी की लाल शर्ट	person,person,sports ball,car,person
2355649	Gray television on stand	स्टैंड पर ग्रे टेलीविजन	potted plant,vase,book,book,laptop,vase,tv,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,chair,book,book,book,book,book,book,book,book,book,potted plant,book,book,book,book,book
2371001	a second meal plate.	भोजन की एक दूसरी थाली।	sandwich,sandwich,bowl,bottle,dining table,carrot
2402752	dark wooden wash stand	ग़ाढे रंग की लकड़ी का वाश स्टैंड	bed,vase,chair,person
2362144	Cube-like cement block out-building with large square door	बड़े वर्ग द्वार के साथ घन-जैसा सीमेंट ब्लॉक ईमारत के बाहर	person,skateboard,bench,bench,person,person,person,bench,person,person,person,person,person,car,truck,person,bicycle,person,person
2356479	chinese characters on a red vehicle	एक लाल वाहन पर चीनी पात्र	person,cow,motorcycle,truck
2323274	blue tennis court area	नीला टेनिस कोर्ट क्षेत्र	person,tennis racket,tennis racket
2347963	Cement block outdoor flooring.	आउटडोर सीमेंट ब्लॉक फर्श।	person,chair,person,person,chair,person,suitcase,person,person,bench,person,tie,tie
713795	the sign has asian characters	साइन में एशियाई वर्ण हैं	person,person,person,person,umbrella,person,umbrella,person,person,person,person,person,person,bottle,person,person,person,person,person,bottle,person,person,person,person,person,person,person,handbag,person,umbrella,person,person,person,person,person,person,person,umbrella,person,person,person,bottle,handbag,person,person,bottle
2339052	a cross sign on top of the tower	टॉवर के शीर्ष पर एक क्रॉस साइन	clock,clock
2403908	man is waiting to cross	आदमी पार होने की प्रतीक्षा कर रहा है	car,car,traffic light,car,car,car,person,car,person,car,car,traffic light,car,handbag,car,car,car,car,car,car,car,car,car,person,car,person,car,person,car,car,car,car,person,car,car,traffic light,car,car,car,car,car,car,car,car,traffic light,person,traffic light,parking meter,car,car,car,traffic light,car,person,car,umbrella,umbrella,car,car,car,person,car,car,bus
2403417	spikes on a players shoe	एक खिलाड़ी के जूते पर क़ीलें	person,person,person,person,baseball glove,sports ball,baseball glove
2389878	a museum containing models of airplanes	एक संग्रहालय जिसमें हवाई जहाज़ों के मॉडलें हैं	airplane,airplane,person,airplane,person,airplane,person,airplane,airplane,person,airplane,person,airplane,airplane
2414566	date and time stamp on a picture	एक तस्वीर पर तारीख और समय की मुहर	truck,car,truck,oven
2407591	Chinese characters on sign	चिन्ह पर चीनी अक्षर	traffic light
2404682	an orange sign with written characters	लिखित अक्षरों के साथ एक नारंगी चिन्ह	car,person,person,person,person,car,car,person,person,person,person,bus
2407657	Baseball players are in the background	बेसबॉल खिलाड़ी पृष्ठभूमि में हैं	person,person,baseball glove,person,person,baseball bat,person,person,person,person,person,person
1651	Newspaper stand on the grass	अखबार स्टैंड घास पर हैं	car,car,truck,car,car,car,car,car,car,car,car,parking meter,truck,stop sign,car,truck,truck,car
2399813	young female date wearing a purple rhinestone sleeveless gown	एक बैंगनी स्फटिक स्लीवलेस गाउन पहनी हुई युवती	person,person,person,tie,potted plant,tie
2325	two people waiting to cross	पार करने हेतु इंतजार कर रहे दो लोग	person,person,traffic light,umbrella,car,person,car,fire hydrant,umbrella,handbag,person,handbag,person,car,traffic light,umbrella,person,truck,scissors,person,car
2400669	the side of the second train	दूसरी ट्रेन का किनारा	train
2344256	the bird is stand on a tree branch	पक्षी एक पेड़ की शाखा पर खड़ा है	bird,bear
497998	a black cross on a vertical stabilizer	एक ऊर्ध्वाधर स्टेबलाइजर पर एक काला क्रॉस	person,airplane,person,tennis racket,backpack,cup,stop sign,person,potted plant
2413194	a green tennis court	एक हरी टेनिस कोर्ट	person,tennis racket,sports ball
2341687	neutral makeup on both rain models	दोनों वर्षा मॉडलों पर तटस्थ मेकअप	umbrella,person,person,umbrella,car,person,person,book,toothbrush,truck,person,handbag
713684	the second bus has a blue sign	दूसरी बस में एक नीला चिन्ह है	bus,bus,person,person,person,car,car,person,bus,person,person,person,traffic light,person,person,person,person,person,person,person,person,traffic light,person,person,person
2315716	This is some type of a fair.	यह किसी प्रकार का मेला है।	person,person,person,dog,motorcycle,dog,person,person,person,person,dog,handbag,person,umbrella,person,person,person,person,person,person,person,person,person,umbrella,person,umbrella,umbrella,person,handbag,umbrella,umbrella,umbrella,person,person,umbrella,person,umbrella,person,person,person,person
2321405	A display of different phone models	विभिन्न फोन मॉडलों का प्रदर्शन	cell phone,cell phone,cell phone,cell phone,cell phone,cell phone,cell phone,cell phone,cell phone,cell phone
2338246	microphone on the court	कोर्ट पर माइक्रोफोन	person,person
