en	hi
it is an indoor scene	यह एक इनडोर दृश्य है
Computer screens turned on	कंप्यूटर स्क्रीन चालू
man has short hair	आदमी के छोटे बाल हैं
photo album open on an adult's lap	एक वयस्क की गोद में फोटो एल्बम खुला
there is a group of girls beside the black car	काली कार के पास लड़कियों का एक समूह है
Child in a stroller	एक घुमक्कड़ में बच्चा
Tall metal lightpost	लंबा धातु प्रकाश पोस्ट
wall is painted white	दीवार सफेद रंग की है
there are several pictures on the wall	दीवार पर कई चित्र हैं
woman facing the ocean	सागर का सामना कर रही महिला
this is an office layout	यह एक कार्यालय लेआउट है
four metallic chairs	चार धातु की कुर्सियाँ
Clutter is on a table	क्लटर एक मेज पर है
a white microwave oven	एक सफेद माइक्रोवेव ओवन
White SUV driving through intersection	चौराहे के माध्यम से सफेद एसयूवी ड्राइविंग
Person crossing street with umbrella	छतरी के साथ सड़क पार करते व्यक्ति
man in gray pants leaning on building	इमारत पर झुकाव में आदमी ग्रे पैंट में
window on the building	भवन पर खिड़की
A man standing in between cars	कारों के बीच में खड़ा एक आदमी
painting hanging on wall	दीवार पर चित्रकला
leg of the chair	कुर्सी का पैर
window of a boat	एक नाव की खिड़की
the cabinet is wood	कैबिनेट लकड़ी है
a man reading a book	एक आदमी एक किताब पढ़ रहा है
A person swimming in water	पानी में तैरता हुआ व्यक्ति
lamp with glowing shade	चमकती छाया के साथ दीपक
fruit on the plate	प्लेट पर फल
A porcelain white plate	एक चीनी मिट्टी के बरतन सफ़ेद प्लेट
black game controller	काला खेल नियंत्रक
A person putting something in the trunk of the car.	कार की डिक्की में कुछ डालने वाला व्यक्ति।
Green car parked along a street	एक सड़क के साथ ग्रीन कार पार्क किया
car on the street	गली पर कार
construction worker wearing coveralls	निर्माण कर्मचारी कवरलेस पहनते हैं
a black car with a yellow door	पीले दरवाजे के साथ एक काली कार
chair at the table	मेज पर कुर्सी
a navel orange on a counter	एक काउंटर पर एक नारंगी संतरा
Three windows of a building	एक इमारत की तीन खिड़कियां
window on a building	इमारत पर खिडकि
Brown table standing on top of a floor.	भूरे रंग की मेज एक मंजिल के ऊपर खड़ी है।
floor lamp is on	फ्लोर लैंप चालू है
A yellow bus	एक पीली बस
branch of the tree	वृक्ष की शाखा
Cement bench outside the building	भवन के बाहर सीमेंट की बेंच
thick black pole with a white stripe	एक सफेद पट्टी के साथ मोटी काली पोल
a wooden park bench	लकड़ी पार्क बेंच
a cup	एक कप
man has brown hair	आदमी के भूरे बाल हैं
grass in a field	एक खेत में घास
A large brown tree trunk	एक बड़ा भूरा पेड़ का तना
silver car in front of a building	इमारत के सामने चांदी कार
man sits at counter	आदमी काउंटर पर बैठता है
woman standing at a book cart	किताब की गाड़ी पर खड़ी महिला
two story blue bus	दो कहानी नीली बस
a gray laundry basket	एक ग्रे कपड़े धोने की टोकरी
The yellow construction hats	पीले रंग की निर्माण टोपी
wooden floor in the room	कमरे में लकड़ी का फर्श
A tall palm tree above the horizon	क्षितिज के ऊपर एक लंबा ताड़ का पेड़
chair inside an auditorium	एक सभागार के अंदर कुर्सी
a tall leafy tree	एक लंबा पत्ते का पेड़
mirror is on far wall	दर्पण दूर की दीवार पर है
