en	bn
a bunch of books on book stand##person,person,book,handbag,book,book	বইয়ের স্ট্যান্ডে একগুচ্ছ বই
gold religious cross on top of golden ball##clock,dog,person	সোনার বলের উপরে সোনার ধর্মীয় ক্রস
Candle on glass candle stand##couch,cup,chair,wine glass,oven,bowl,potted plant,chair,vase,chair	গ্লাস মোমবাতি স্ট্যান্ডে মোমবাতি
a blue wall beside tennis court##person,tennis racket	টেনিস কোর্টের পাশে একটি নীল প্রাচীর
fine thin red hair##person,bench,vase,vase,frisbee	সূক্ষ্ম পাতলা লাল চুল
front springs of motocross motorcycle##person,motorcycle	মোটরক্রস মোটরসাইকেলের সামনের স্প্রিংস
the tennis court is made up of sand and dirt##person,tennis racket,sports ball	টেনিস কোর্ট বালু এবং ময়লা দিয়ে গঠিত
court attendant sitting in chair##person,person,chair,chair,chair,person,person,person,person,person	চেয়ারে বসে কোর্ট অ্যাটেন্ডেন্ট
a cross on the top of a spire##clock	একটি বীর্যের শীর্ষে একটি ক্রস
the cross is black##person,bus,person,person,truck,car	ক্রস কালো হয়
press box on tennis court##person,person,person,person,person,person,person,person,person,backpack	টেনিস কোর্টে প্রেস বক্স
the characters are chinese##bus,car,person,traffic light,person,person,person,person,person,person	চরিত্রগুলি চীনা
date and time of photo##sheep,sports ball	তারিখ এবং ছবির সময়
Luggage sign in english and spanish##person,suitcase,suitcase,suitcase,suitcase,suitcase,suitcase,suitcase,suitcase,suitcase	লাগেজ সাইন ইন ইংলিশ এবং স্প্যানিশ
box springs on bottom of bed##bed	বিছানার নীচে বক্স স্প্রিংস
box springs with flower print##couch,bed,person,couch,book,handbag,chair,bed,bottle,chair	ফুলের মুদ্রণ সহ বক্স স্প্রিংস
fork under english muffin##bowl,carrot,spoon,carrot,carrot,dining table,cake,sandwich,carrot,carrot	ইংরেজি মাফিনের নীচে কাঁটাচামচ
there are two players in the court##person,person,tennis racket,tennis racket,tennis racket,tennis racket	কোর্টে দুজন খেলোয়াড় আছেন
a man trying to cross##bus,bus,person,person,person,person,person,person,person,person	একজন লোক ক্রস করার চেষ্টা করছে
people on the second level##person,person,person,person,person,person,person,person,person,person	দ্বিতীয় স্তরের লোকেরা
Name and date stamp on picture##clock,refrigerator	ছবিতে নাম এবং তারিখের স্ট্যাম্প
A stand of trees.##frisbee,dog,dog	গাছের একটি স্ট্যান্ড।
umbrella to block sun##person,person,umbrella,person,chair,boat,dog,boat,person,kite	ছাতা রোদে ব্লক করতে
